iid,counter
3949,"{'908': 1, '3320': 1, '3089': 1, '3285': 1, '3160': 1, '1217': 1, '2427': 1, '3916': 1, '1411': 1, '3479': 1, '3554': 1, '910': 1, '3950': 3, '3952': 6, '3910': 4, '3911': 5, '919': 1, '3893': 3, '2001': 1, '3328': 1, '1546': 1, '3929': 1, '1222': 1, '2919': 1, '3885': 1, '527': 1, '3408': 1, '3889': 1, '3858': 1, '1997': 1, '3578': 2, '3457': 1, '1276': 1, '3894': 1, '3730': 1, '3851': 2, '1719': 1, '3896': 1, '3897': 13, '3932': 1, '3855': 1, '1252': 1, '1250': 1, '3030': 2, '1921': 1, '3903': 1, '3947': 1, '1249': 1, '1204': 1, '3948': 1, '3909': 1, '3300': 1, '745': 1, '3863': 1, '3865': 4, '3943': 1, '3507': 1, '2858': 1, '3747': 1}"
1746,"{'2812': 1, '3525': 1, '1620': 1, '3243': 1, '1461': 1, '2719': 1, '2252': 1, '3395': 1, '2806': 1, '1617': 1, '2292': 1, '1911': 1}"
1870,"{'47': 2, '1120': 1, '2396': 1, '2889': 1, '2029': 1, '1136': 1, '1256': 1, '2168': 1, '3499': 1, '3897': 1, '2706': 1, '1958': 1, '2506': 1, '34': 1, '39': 1, '1198': 1, '3176': 1, '2087': 1, '440': 1, '1546': 1, '265': 1, '101': 1, '585': 1, '2359': 1, '1941': 1, '3948': 1, '520': 1, '1422': 1, '2335': 1, '2433': 1, '500': 1, '348': 1, '527': 1, '1968': 1, '1846': 1}"
2696,"{'3082': 1, '29': 1, '2155': 1, '2771': 1, '2396': 1, '2671': 1, '3185': 1, '3814': 1, '176': 1, '111': 1, '2843': 1, '497': 1, '2302': 1, '2324': 1, '1179': 1, '478': 1, '357': 1, '3158': 1, '2861': 1, '2124': 1, '1210': 1, '910': 1, '539': 1, '2628': 1, '1614': 1, '919': 1, '1394': 1, '3175': 1, '1370': 1, '3174': 1, '162': 1, '1391': 1, '3052': 2, '781': 1, '265': 1, '364': 1, '1249': 1, '420': 1, '344': 1, '3524': 1, '147': 1, '2774': 1, '2355': 1, '2318': 1, '21': 1}"
870,"{'2799': 1, '2029': 1, '2574': 1, '260': 1, '1292': 1, '52': 1, '2759': 1}"
2898,"{'3081': 1, '1330': 1, '1274': 1, '2120': 1, '480': 1, '3273': 1, '2844': 1, '2513': 1, '1753': 1, '3708': 1, '2126': 1, '1255': 1, '1991': 1, '920': 1, '316': 1, '517': 1, '2517': 1, '1999': 1}"
3838,"{'3839': 2, '2995': 1, '3791': 1, '2716': 1}"
3266,"{'2395': 1, '1580': 3, '2590': 1, '3481': 1, '2194': 1, '471': 1, '110': 2, '671': 1, '2427': 1, '2108': 1, '232': 1, '1732': 1, '112': 1, '2985': 1, '599': 1, '555': 1, '2542': 1, '1254': 1, '50': 1, '838': 1, '2080': 1, '1197': 2, '2000': 1, '1394': 1, '3098': 1, '1270': 1, '162': 1, '164': 1, '441': 1, '3328': 1, '2159': 1, '2797': 1, '203': 1, '1784': 1, '3809': 1, '6': 1, '2795': 1, '1265': 1, '923': 1, '527': 1, '924': 1, '1429': 1, '3605': 1, '2571': 2, '2692': 1, '293': 1, '2370': 1, '2490': 1, '493': 1, '296': 1, '3578': 1, '2324': 1, '1036': 1, '457': 3, '2366': 1, '3498': 1, '2640': 1, '2002': 1, '1916': 1, '417': 1, '2728': 1, '3418': 1, '3272': 1, '2337': 1, '266': 1, '1248': 1, '861': 1, '2697': 1, '3104': 2, '302': 1, '2058': 1, '589': 1, '3421': 1, '3740': 1, '229': 1, '2617': 1}"
1953,"{'909': 1, '1220': 2, '593': 2, '111': 1, '474': 3, '2303': 2, '1214': 17, '356': 1, '1213': 8, '1333': 1, '1212': 1, '1210': 7, '3751': 2, '910': 3, '913': 1, '2429': 1, '1219': 2, '919': 1, '1231': 3, '1230': 1, '480': 1, '1228': 1, '1': 2, '1225': 3, '1466': 2, '1344': 2, '6': 3, '1222': 7, '920': 1, '1221': 9, '924': 1, '1242': 2, '1362': 1, '1240': 11, '2692': 1, '2571': 2, '373': 1, '254': 1, '1358': 2, '2324': 1, '1235': 1, '1234': 12, '1233': 1, '3654': 2, '3897': 1, '1912': 3, '32': 2, '34': 1, '36': 2, '3794': 1, '1253': 3, '2100': 1, '1132': 1, '1252': 1, '1251': 1, '1250': 2, '380': 1, '2580': 1, '260': 1, '1249': 1, '2336': 1, '1247': 2, '1246': 1, '940': 1, '1244': 3, '41': 1, '3789': 1, '47': 1, '1264': 1, '1263': 4, '1261': 1, '150': 1, '1136': 1, '1256': 1, '1254': 1, '954': 1, '2908': 1, '50': 11, '1396': 1, '1275': 1, '3210': 1, '2000': 2, '1272': 3, '1271': 3, '2239': 1, '1269': 1, '3204': 3, '720': 1, '1267': 1, '1387': 4, '3201': 1, '2919': 1, '965': 1, '2917': 8, '2916': 2, '969': 4, '1704': 1, '2912': 4, '1944': 2, '1284': 1, '293': 1, '296': 1, '2922': 1, '1954': 27, '2009': 1, '1711': 1, '299': 1, '2248': 1, '971': 1, '3578': 3, '1278': 4, '1036': 16, '3334': 2, '2366': 2, '1034': 2, '858': 3, '2804': 1, '2925': 4, '1957': 3, '2924': 4, '1956': 2, '3471': 2, '1293': 4, '1292': 2, '1964': 7, '2019': 6, '2932': 2, '1963': 1, '2018': 1, '1962': 2, '1961': 1, '3588': 2, '2499': 1, '3104': 3, '1288': 2, '1287': 3, '745': 1, '2938': 1, '1968': 2, '3244': 1, '2396': 1, '1186': 1, '1185': 1, '3363': 2, '3362': 1, '2150': 1, '2391': 3, '2944': 19, '1732': 1, '1610': 1, '2028': 6, '3359': 1, '994': 1, '2268': 2, '1179': 3, '3114': 1, '999': 1, '2949': 4, '2948': 7, '1617': 1, '2947': 11, '2826': 1, '1077': 1, '1197': 2, '1076': 1, '1196': 2, '1073': 1, '1193': 2, '2952': 1, '2159': 1, '2951': 2, '1982': 1, '406': 1, '527': 1, '529': 1, '2959': 1, '2716': 1, '1625': 1, '1080': 3, '3266': 1, '3265': 1, '1086': 1, '1085': 1, '3384': 1, '1084': 10, '2966': 1, '1997': 3, '3019': 1, '2289': 1, '535': 1, '2288': 2, '3498': 1, '3256': 2, '899': 1, '2728': 1, '3811': 1, '1090': 1, '3035': 1, '3152': 1, '1094': 1, '2181': 1, '541': 1, '2730': 2, '3267': 2, '2178': 1, '1089': 5, '308': 1, '3702': 2, '3703': 10, '2991': 1, '2194': 2, '3040': 1, '2867': 1, '2866': 1, '2502': 1, '2501': 1, '434': 1, '3037': 1, '799': 1, '1537': 1, '3178': 1, '3726': 2, '1788': 1, '1304': 3, '3728': 1, '2997': 2, '1303': 2, '2993': 1, '446': 1, '2871': 2, '2646': 1, '334': 1, '2764': 1, '1674': 4, '456': 1, '457': 4, '2762': 8, '2640': 1, '3730': 3, '3733': 1, '2529': 1, '3735': 15, '2527': 1, '3871': 1, '3196': 2, '1206': 2, '1687': 1, '1203': 2, '588': 1, '1201': 7, '1200': 4, '3741': 2, '902': 1, '3508': 1, '904': 2, '1208': 11, '1207': 1, '906': 1}"
2550,"{'45': 1, '1262': 1, '2746': 2, '2944': 1, '1258': 1, '1214': 2, '3917': 1, '2784': 2, '2068': 1, '1298': 1, '911': 1, '759': 1, '2949': 1, '2947': 1, '1219': 5, '2001': 1, '3013': 1, '1076': 1, '1230': 1, '1350': 1, '1031': 1, '3727': 1, '2118': 1, '1347': 1, '366': 1, '3927': 1, '1345': 1, '1982': 3, '2553': 2, '1387': 1, '965': 1, '724': 1, '2719': 1, '846': 1, '968': 2, '1947': 1, '2716': 2, '3101': 1, '1285': 1, '1086': 1, '2571': 1, '1480': 1, '1954': 1, '253': 1, '1997': 4, '1951': 1, '3535': 1, '2644': 1, '1994': 1, '2202': 2, '1674': 1, '3499': 1, '457': 1, '2003': 1, '931': 1, '899': 1, '933': 1, '2649': 1, '3505': 1, '2734': 1, '1645': 1, '2019': 1, '188': 1, '1964': 1, '1963': 1, '3706': 1, '3546': 1, '2058': 1, '2936': 1, '1968': 1, '904': 2, '3507': 2}"
7,"{'3244': 2, '2671': 4, '2150': 1, '231': 1, '595': 1, '2424': 9, '597': 4, '3916': 1, '1334': 1, '3512': 1, '3358': 1, '356': 2, '357': 1, '237': 2, '2266': 1, '2145': 2, '2706': 1, '915': 2, '1615': 1, '3255': 1, '3254': 1, '362': 1, '2558': 1, '3525': 1, '2710': 1, '1465': 1, '3247': 3, '764': 1, '2431': 1, '1188': 1, '920': 1, '1100': 1, '802': 1, '2694': 1, '2572': 1, '2693': 1, '253': 1, '2447': 1, '2567': 2, '410': 1, '1356': 1, '3259': 2, '653': 1, '378': 1, '1353': 2, '1918': 1, '1917': 1, '417': 1, '539': 7, '2967': 1, '39': 1, '2463': 1, '3552': 1, '3155': 1, '3430': 1, '2340': 1, '380': 1, '3394': 1, '3031': 1, '2062': 1, '141': 2, '1888': 3, '266': 1, '1643': 1, '1247': 1, '784': 1, '1125': 1, '543': 1, '1884': 1, '1883': 1, '3269': 2, '1485': 1, '305': 1, '1409': 2, '1408': 2, '1923': 1, '46': 1, '3684': 1, '3046': 1, '3165': 1, '2470': 1, '275': 1, '1019': 1, '2469': 2, '3717': 1, '1136': 1, '3039': 1, '1653': 1, '2621': 1, '1135': 1, '830': 1, '435': 1, '3157': 1, '317': 2, '3831': 1, '2506': 1, '1396': 1, '3450': 2, '1271': 1, '440': 1, '1821': 1, '2872': 1, '61': 1, '605': 1, '1440': 1, '1286': 1, '2496': 1, '2011': 1, '293': 1, '2371': 1, '294': 1, '691': 1, '450': 1, '3614': 1, '1711': 2, '2006': 1, '2124': 2, '216': 2, '339': 2, '736': 1, '1835': 2, '3591': 1, '1290': 1, '1569': 5, '3108': 1, '1688': 1, '2413': 1, '586': 1, '344': 1, '1289': 1, '500': 2, '468': 2, '2014': 1, '1441': 2, '2134': 1, '2497': 2, '988': 1, '902': 2, '1603': 1}"
2034,"{'196': 1, '2668': 1, '435': 1, '3510': 1, '316': 1, '912': 1, '50': 1, '838': 1, '1779': 1, '1230': 1, '1031': 1, '3175': 1, '1030': 1, '1150': 1, '1073': 1, '1391': 1, '2997': 1, '3926': 1, '1148': 1, '2038': 2, '720': 2, '2311': 1, '3686': 1, '3802': 1, '2091': 1, '28': 1, '3067': 1, '2054': 1, '3340': 1, '2094': 1, '1876': 1, '971': 1, '2324': 1, '2642': 1, '610': 1, '611': 1, '1199': 1, '2761': 1, '2167': 1, '3697': 1, '1917': 2, '2409': 1, '3811': 1, '2529': 1, '3671': 1, '1373': 2, '3230': 1, '1371': 3, '1250': 1, '2851': 2, '2377': 1, '788': 1, '1320': 1, '745': 1, '2615': 1}"
3121,"{'3307': 1, '919': 1, '3334': 1, '3683': 1, '3364': 1, '1209': 1, '3260': 1}"
2888,"{'88': 1, '2485': 1, '2690': 1, '1390': 1, '2712': 1, '168': 1, '2336': 2, '2599': 2, '1136': 1, '3159': 1, '105': 1, '2772': 1, '3399': 1, '656': 1, '1760': 1, '2918': 1, '637': 1, '2924': 1, '2605': 1, '3408': 1, '1911': 1}"
3249,"{'230': 2, '231': 2, '3557': 2, '1379': 1, '2423': 1, '2863': 1, '1653': 1, '1015': 1, '434': 1, '2026': 1, '2344': 1, '2189': 1, '832': 1, '1892': 1, '1573': 1, '954': 1, '999': 1, '3798': 1, '3633': 1, '2707': 3, '2706': 1, '3519': 1, '1615': 1, '2505': 2, '1779': 1, '3255': 1, '1792': 1, '2881': 1, '280': 1, '482': 2, '165': 2, '1744': 1, '288': 1, '3445': 1, '3005': 1, '2432': 1, '2112': 1, '3685': 1, '329': 1, '2916': 1, '22': 1, '3101': 1, '2496': 1, '2771': 1, '3265': 1, '1042': 1, '292': 2, '3261': 1, '3219': 2, '1954': 1, '3614': 1, '2447': 1, '1479': 1, '1754': 1, '454': 1, '2446': 1, '1235': 2, '3578': 1, '1597': 1, '1552': 1, '1918': 1, '2605': 1, '2803': 3, '1834': 1, '35': 1, '36': 1, '3430': 1, '780': 1, '782': 1, '2778': 1, '100': 1, '661': 1, '1644': 1, '662': 1, '542': 1, '2699': 2, '1961': 1, '543': 1, '587': 1, '786': 1, '225': 2, '589': 1, '1320': 2, '1608': 2, '902': 1, '1409': 1, '1408': 1, '3821': 1, '1407': 1}"
447,"{'1701': 1, '608': 1, '3418': 1}"
124,"{'858': 1, '83': 1, '356': 1, '733': 1}"
2930,"{'3114': 1, '1041': 1, '759': 1}"
1903,"{'2302': 1, '1784': 1}"
3652,{'2341': 1}
1500,"{'1220': 1, '2671': 3, '3088': 2, '2791': 3, '1580': 4, '3087': 1, '592': 1, '471': 2, '593': 1, '352': 1, '594': 1, '110': 3, '474': 2, '111': 1, '112': 2, '1215': 2, '596': 1, '597': 1, '235': 2, '1213': 2, '2302': 7, '356': 4, '2423': 1, '236': 1, '357': 5, '2542': 7, '1695': 1, '117': 3, '2541': 1, '1210': 1, '1694': 1, '911': 1, '912': 1, '915': 1, '11': 2, '16': 2, '2682': 1, '480': 1, '1': 3, '364': 1, '3526': 1, '1227': 2, '1589': 3, '124': 1, '125': 3, '1466': 4, '367': 2, '1343': 1, '6': 2, '1584': 2, '7': 1, '2431': 1, '3529': 1, '21': 8, '2318': 3, '2331': 2, '2572': 2, '1120': 1, '2692': 1, '2571': 2, '1480': 1, '2326': 1, '497': 1, '2324': 2, '1233': 1, '2321': 16, '934': 1, '3654': 1, '1914': 1, '1912': 4, '2329': 2, '32': 2, '34': 1, '3671': 1, '39': 10, '3552': 2, '1252': 1, '380': 1, '260': 1, '2580': 7, '141': 1, '3549': 1, '1249': 1, '2336': 1, '1125': 1, '2696': 1, '149': 1, '3543': 2, '1805': 1, '41': 1, '1923': 15, '42': 1, '47': 10, '3200': 1, '2352': 3, '2231': 3, '1261': 2, '150': 1, '2108': 2, '1810': 1, '1259': 2, '1379': 1, '1257': 5, '951': 1, '2102': 1, '832': 1, '2908': 1, '50': 1, '52': 1, '838': 1, '1934': 2, '57': 1, '58': 1, '2243': 1, '2001': 1, '1396': 7, '3210': 2, '2000': 4, '2363': 1, '3451': 1, '1394': 2, '3450': 2, '1393': 5, '281': 1, '1271': 1, '1392': 1, '1270': 1, '163': 1, '164': 1, '1701': 1, '3208': 1, '3328': 1, '2359': 6, '1269': 1, '2599': 2, '1266': 2, '2355': 8, '2112': 1, '1265': 4, '965': 1, '2918': 6, '2917': 3, '1948': 1, '1827': 1, '62': 2, '2915': 1, '1704': 3, '849': 1, '728': 2, '608': 1, '2912': 1, '69': 1, '1285': 1, '3341': 1, '293': 3, '176': 1, '1953': 2, '1711': 1, '2248': 2, '2006': 1, '3578': 1, '2125': 1, '1278': 2, '852': 2, '2003': 1, '1035': 1, '1397': 1, '1034': 2, '733': 1, '1719': 1, '3699': 1, '2926': 1, '1297': 2, '2144': 1, '2023': 1, '180': 1, '2141': 1, '2140': 1, '1171': 2, '3108': 10, '1721': 1, '1961': 1, '3105': 2, '3104': 5, '500': 1, '1288': 1, '1287': 1, '866': 5, '1729': 12, '1968': 4, '1966': 1, '3363': 1, '3000': 1, '2395': 5, '1063': 1, '194': 1, '3361': 2, '2150': 1, '3481': 1, '2391': 6, '1060': 4, '2390': 1, '1732': 12, '2700': 9, '750': 1, '3358': 2, '2268': 6, '3114': 2, '1177': 1, '514': 1, '515': 2, '1617': 1, '2706': 2, '2946': 1, '1615': 1, '1614': 1, '3255': 1, '2166': 1, '1077': 1, '3253': 6, '1073': 2, '2282': 2, '2280': 1, '3249': 1, '2952': 2, '521': 1, '3809': 1, '2278': 3, '1188': 1, '2959': 1, '1748': 1, '2716': 5, '1747': 5, '3802': 1, '3266': 2, '2174': 2, '1084': 1, '1635': 1, '892': 1, '1753': 1, '3499': 2, '2289': 1, '3256': 2, '1199': 1, '898': 1, '778': 1, '417': 1, '1639': 2, '1517': 17, '2726': 1, '2968': 1, '2067': 1, '3275': 1, '3396': 1, '2065': 1, '2064': 2, '780': 1, '1885': 3, '1401': 1, '542': 1, '300': 1, '1641': 3, '1883': 1, '3147': 3, '1089': 2, '428': 1, '1408': 1, '1649': 1, '1407': 1, '2078': 1, '1660': 1, '2194': 4, '3040': 1, '3160': 2, '551': 1, '1777': 1, '2502': 1, '431': 1, '2501': 1, '3159': 1, '555': 2, '434': 1, '314': 1, '2506': 1, '1537': 1, '2080': 4, '3178': 4, '2089': 1, '3175': 2, '3174': 4, '3052': 6, '440': 1, '562': 2, '320': 1, '441': 2, '2997': 1, '2996': 1, '1785': 1, '1663': 2, '1784': 8, '1300': 1, '1542': 1, '3608': 1, '1307': 1, '3060': 3, '2891': 2, '3067': 1, '1797': 2, '1673': 1, '2883': 1, '2762': 2, '457': 1, '2761': 1, '3179': 1, '337': 1, '1672': 1, '339': 1, '2540': 1, '3072': 1, '1569': 1, '1206': 2, '3504': 1, '342': 3, '223': 3, '345': 3, '224': 1, '588': 5, '104': 4, '589': 1, '1200': 1, '348': 4, '349': 1, '3861': 1, '3507': 4, '1449': 3, '1207': 1}"
1957,"{'2791': 1, '592': 2, '593': 1, '2427': 1, '1217': 1, '111': 2, '2788': 1, '235': 1, '356': 1, '2423': 3, '1213': 1, '1211': 1, '1210': 3, '3751': 3, '911': 2, '913': 1, '3635': 1, '919': 1, '3091': 1, '1231': 10, '3098': 2, '1228': 4, '1227': 2, '1348': 1, '2436': 1, '1225': 7, '2313': 2, '1224': 1, '2312': 4, '1222': 2, '3521': 1, '2795': 1, '1585': 1, '920': 1, '923': 1, '924': 1, '926': 1, '29': 2, '1242': 5, '1240': 3, '1238': 3, '377': 1, '3897': 1, '30': 1, '2329': 1, '34': 2, '36': 1, '39': 1, '1252': 6, '1131': 1, '3548': 1, '265': 1, '1247': 3, '1246': 3, '3423': 1, '1244': 1, '1243': 1, '948': 1, '1923': 1, '1801': 1, '3683': 2, '2474': 1, '1264': 1, '2352': 1, '1263': 1, '150': 1, '1259': 3, '1258': 1, '1136': 1, '3555': 1, '1376': 1, '1012': 1, '953': 1, '2908': 2, '50': 3, '52': 1, '2901': 1, '3210': 1, '1270': 2, '1029': 2, '2359': 1, '1269': 1, '2357': 4, '1387': 2, '1266': 1, '3201': 2, '1265': 1, '2919': 2, '2918': 4, '2917': 1, '2915': 4, '1704': 1, '3222': 1, '2132': 1, '1041': 2, '1280': 1, '296': 1, '1954': 1, '1953': 1, '1952': 1, '971': 1, '1278': 1, '1036': 1, '3214': 1, '3334': 1, '1277': 1, '2929': 1, '3699': 1, '1958': 1, '73': 1, '2804': 4, '1956': 1, '1176': 1, '1296': 1, '3111': 1, '2020': 3, '1294': 1, '1293': 3, '3471': 2, '1292': 1, '1291': 1, '1290': 1, '1965': 1, '1964': 1, '2018': 1, '1962': 5, '1961': 10, '3468': 1, '3347': 1, '1960': 7, '1288': 2, '1287': 1, '1968': 8, '1186': 1, '2396': 2, '1185': 3, '3360': 2, '2943': 1, '2028': 3, '1610': 1, '3479': 1, '994': 2, '3114': 1, '1077': 1, '1197': 1, '3011': 1, '1196': 1, '1193': 1, '1068': 1, '3246': 1, '2959': 1, '1747': 1, '1625': 1, '3022': 1, '1084': 1, '1082': 1, '3260': 1, '2966': 1, '1635': 1, '1994': 2, '3379': 1, '3819': 1, '1079': 5, '778': 1, '3930': 1, '1639': 1, '2968': 2, '1090': 6, '2067': 1, '1097': 9, '2065': 1, '1094': 1, '541': 4, '3148': 1, '2971': 1, '307': 2, '3700': 1, '2858': 2, '3703': 1, '2070': 1, '2077': 1, '2194': 1, '670': 1, '2988': 1, '1535': 1, '1411': 1, '3713': 1, '1302': 4, '2996': 1, '1300': 1, '3169': 2, '1307': 2, '1682': 2, '1678': 1, '2401': 1, '1674': 6, '457': 1, '215': 1, '3730': 2, '3733': 1, '3735': 2, '3196': 1, '1206': 2, '3624': 1, '1203': 2, '587': 1, '1200': 1, '2410': 1, '589': 3, '903': 1, '1208': 2, '1207': 1}"
2161,"{'908': 1, '2276': 1, '2273': 1, '590': 1, '351': 1, '594': 1, '1974': 1, '1215': 1, '112': 1, '3917': 1, '1696': 1, '1178': 1, '1210': 4, '910': 1, '2709': 1, '3755': 2, '1615': 1, '10': 2, '919': 1, '3770': 1, '1073': 2, '362': 1, '3527': 1, '364': 1, '1347': 1, '2': 1, '1588': 1, '2797': 5, '367': 10, '3489': 2, '126': 1, '2312': 1, '2399': 1, '1101': 1, '2795': 1, '1221': 1, '1907': 1, '2717': 1, '3920': 1, '925': 1, '1748': 1, '3408': 1, '1088': 2, '3145': 1, '3265': 1, '2054': 5, '2174': 15, '2173': 2, '1082': 1, '2206': 1, '1356': 3, '653': 1, '1476': 1, '2046': 2, '2167': 1, '539': 1, '2968': 2, '1912': 1, '3793': 1, '3672': 1, '3552': 1, '1374': 1, '3398': 1, '3397': 5, '3034': 1, '1010': 1, '3033': 1, '2064': 1, '3153': 4, '1371': 1, '380': 2, '1920': 2, '266': 1, '1127': 1, '1248': 1, '421': 1, '3029': 1, '3269': 1, '788': 3, '1805': 1, '1409': 1, '1009': 2, '3308': 1, '2615': 1, '709': 3, '3683': 1, '2231': 1, '2470': 3, '2193': 37, '2746': 2, '1019': 4, '3438': 2, '551': 1, '1017': 2, '552': 1, '674': 1, '1258': 1, '2622': 1, '1016': 1, '1014': 2, '1377': 1, '1376': 1, '1013': 1, '1375': 2, '711': 1, '317': 3, '3675': 1, '50': 1, '837': 1, '2628': 1, '3713': 1, '2989': 1, '1033': 2, '2001': 1, '1031': 1, '2087': 1, '3175': 2, '2083': 1, '2997': 1, '1544': 1, '1302': 1, '2115': 3, '720': 1, '1025': 1, '2872': 1, '1023': 1, '3168': 5, '2871': 1, '569': 1, '329': 1, '2916': 2, '968': 1, '2518': 2, '1702': 1, '2133': 1, '3101': 1, '1286': 2, '2011': 2, '2770': 1, '2099': 1, '1042': 1, '2097': 1, '293': 1, '2370': 1, '1954': 1, '2405': 1, '2403': 1, '2005': 16, '1279': 1, '2762': 1, '2641': 1, '1552': 1, '2003': 1, '733': 1, '2640': 1, '1276': 1, '3179': 1, '1959': 1, '616': 1, '3699': 1, '1958': 1, '2407': 1, '2406': 3, '2143': 4, '2022': 2, '2021': 3, '1173': 1, '2140': 1, '3591': 1, '1291': 1, '2416': 1, '3505': 1, '2139': 2, '1049': 1, '586': 1, '1566': 3, '3501': 2, '2015': 7, '105': 1, '1288': 1, '3345': 1, '107': 1, '3740': 1, '349': 2, '86': 1, '1967': 25, '2418': 1}"
3167,"{'2352': 1, '1185': 1, '2076': 1, '3360': 1, '151': 1, '154': 1, '110': 1, '1897': 1, '431': 1, '750': 1, '2907': 1, '3676': 1, '912': 3, '2285': 1, '1196': 1, '3099': 1, '3252': 1, '1073': 1, '3174': 1, '3371': 2, '2238': 1, '1345': 2, '3168': 1, '3763': 1, '2918': 1, '1946': 1, '3420': 1, '1362': 1, '571': 1, '1954': 2, '1997': 1, '213': 1, '3015': 1, '534': 1, '535': 1, '2640': 1, '3730': 1, '3655': 1, '3735': 1, '1956': 1, '1955': 3, '2527': 2, '34': 1, '3671': 1, '3111': 1, '3198': 3, '260': 1, '1293': 1, '3194': 5, '141': 1, '1206': 1, '3505': 1, '3428': 1, '2932': 2, '2657': 1, '1721': 1, '3547': 1, '3503': 1, '388': 1, '1401': 1, '1246': 1, '2730': 1, '225': 1, '2971': 1, '2013': 1, '1287': 1, '1727': 1, '1208': 1, '3506': 2}"
3902,"{'1252': 1, '2085': 1, '3185': 1, '2858': 1}"
574,"{'190': 1, '2671': 1, '1261': 1, '590': 1, '1183': 1, '230': 1, '593': 1, '2305': 1, '595': 1, '2502': 1, '1611': 3, '3118': 1, '431': 1, '112': 1, '3358': 1, '235': 1, '3039': 1, '1179': 1, '357': 1, '3477': 1, '1056': 1, '955': 1, '3178': 1, '3255': 1, '2440': 1, '3253': 2, '3252': 1, '1393': 1, '1271': 1, '480': 1, '3250': 1, '1391': 1, '440': 1, '1425': 1, '2437': 1, '1589': 1, '1027': 1, '1500': 1, '2433': 1, '2356': 1, '1784': 1, '3809': 1, '524': 1, '1748': 1, '2759': 1, '3060': 1, '1120': 1, '1483': 1, '3186': 1, '492': 1, '1910': 1, '1953': 1, '1875': 1, '531': 1, '1279': 1, '851': 1, '2324': 1, '412': 1, '1476': 1, '1552': 1, '2245': 1, '1672': 1, '613': 1, '1834': 1, '32': 1, '2144': 1, '2065': 1, '2064': 1, '260': 1, '1093': 1, '185': 1, '1921': 1, '3504': 1, '3107': 1, '3624': 1, '1643': 1, '1125': 1, '1883': 1, '1441': 2, '2539': 1, '1923': 2, '708': 1}"
1897,"{'2276': 1, '2352': 1, '1183': 1, '471': 2, '3083': 1, '2427': 1, '232': 1, '1611': 1, '1610': 1, '1411': 1, '357': 1, '678': 1, '318': 1, '11': 1, '16': 1, '17': 1, '1197': 1, '3451': 1, '1393': 1, '2160': 1, '362': 1, '1227': 1, '3129': 1, '2237': 1, '2357': 1, '2433': 1, '647': 1, '1509': 1, '802': 1, '803': 1, '1704': 2, '1824': 1, '3060': 1, '25': 2, '3783': 1, '1680': 1, '2890': 2, '2570': 1, '3261': 1, '2171': 1, '372': 1, '377': 1, '2885': 1, '532': 1, '1794': 1, '339': 1, '1913': 1, '1759': 1, '1835': 1, '1912': 1, '2100': 1, '1295': 1, '1094': 2, '2183': 1, '3270': 1, '461': 1, '1643': 1, '300': 1, '2774': 1, '2333': 1, '668': 1, '506': 1, '85': 1, '509': 2, '3868': 1}"
307,"{'1186': 1, '1183': 1, '590': 1, '1060': 1, '593': 1, '2427': 1, '750': 1, '475': 1, '1610': 1, '235': 1, '1213': 4, '1179': 1, '1211': 1, '1299': 1, '1694': 1, '1210': 1, '918': 1, '3090': 1, '17': 1, '3252': 1, '1228': 1, '2677': 1, '1466': 2, '246': 1, '247': 1, '1221': 1, '800': 1, '921': 1, '923': 1, '926': 1, '25': 1, '1242': 1, '2174': 1, '3263': 1, '1084': 1, '2293': 1, '2291': 3, '1237': 1, '1633': 1, '497': 1, '1358': 1, '1079': 1, '1354': 1, '1233': 2, '3498': 1, '778': 2, '3897': 1, '2728': 1, '1639': 1, '30': 1, '36': 2, '39': 1, '3793': 1, '2067': 1, '1097': 1, '1096': 1, '1095': 1, '260': 1, '3270': 1, '265': 1, '1249': 1, '541': 1, '3424': 1, '1244': 1, '1089': 2, '1243': 1, '306': 5, '308': 9, '309': 1, '1408': 1, '3822': 1, '1407': 1, '3683': 1, '1263': 1, '1262': 1, '150': 1, '151': 1, '2745': 1, '1411': 1, '3037': 1, '2908': 2, '318': 3, '835': 1, '715': 1, '50': 1, '3678': 1, '1935': 1, '58': 1, '1273': 1, '3175': 1, '1272': 1, '161': 1, '1271': 1, '1270': 1, '321': 1, '2511': 1, '2599': 2, '1300': 1, '1266': 1, '1387': 1, '3565': 1, '326': 1, '1265': 2, '448': 1, '1704': 1, '728': 1, '1945': 2, '3067': 1, '2890': 1, '1041': 4, '293': 1, '296': 1, '1678': 1, '211': 1, '2248': 1, '334': 1, '1674': 1, '2762': 1, '3334': 1, '337': 1, '1719': 1, '978': 1, '3699': 1, '3078': 1, '2020': 1, '1172': 1, '1206': 1, '1446': 1, '1721': 1, '345': 2, '1046': 1, '2936': 1, '509': 1, '1207': 1, '1449': 1}"
